X1,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
83448,US,"Textured in bold cranberry and strawberry fruit, this older Pinot still offers plenty of fruit and weight, though neither will necessarily last much longer. It shows a softness, and streaks of herb and allspice, too. This wine offers a chance to travel back in time to a healthy vintage for Anderson Valley and see the intermingling of savory with sweet.",Elegancé,88,36,California,Anderson Valley,NA,Virginie Boone,@vboone,Harmonique 2007 Elegancé Pinot Noir (Anderson Valley),Pinot Noir,Harmonique
47649,France,"Unusual rose petal perfume hovers above the apple-scented nose. The palate is dry but textured and open, broad but fluid and poised. There is a seam of taut, bright and pure lemon acidity that frames everything neatly and which makes this totally appetizing and moreish in all its fruitfulness.",Schlossberg Grand Cru,92,24,Alsace,Alsace,NA,Anne Krebiehl MW,@AnneInVino,Joseph Fritsch 2014 Schlossberg Grand Cru Riesling (Alsace),Riesling,Joseph Fritsch
57222,Italy,"Wild berry, moist earth, crushed violet and a whiff of dark baking spice meld together on this. The polished palate delivers succulent Marasca cherry, white pepper and a licorice note alongside firm, polished tannins.",NA,90,22,Tuscany,Chianti Classico,NA,Kerin O’Keefe,@kerinokeefe,Carobbio 2013  Chianti Classico,Red Blend,Carobbio
74444,France,"As fresh as possible, this herb- and orange-flavored wine is crisp, driven by its fruit and acidity, finishing with a burst of fruit juice. It is ready to drink.",NA,86,10,Southwest France,Côtes de Gascogne,NA,Roger Voss,@vossroger,Domaine la Salette 2010 White (Côtes de Gascogne),White Blend,Domaine la Salette
50256,US,"Bountiful and rich black fruits of black currant and black cherry meet with dark clove and other baking spices as well as a hint of maple on the nose of this Syrah, Grenache and Mourvèdre blend. The palate's chalky structure is soft, allowing strong spice to rise amidst the black fruit in the midpalate, followed by a wave of plummy purple-flower flavors. The finish is all acid, which makes for a compelling combo of sensations.",La Montagne Sauvage,93,28,California,Carmel Valley,Central Coast,Matt Kettmann,@mattkettmann,Chesebro 2012 La Montagne Sauvage Red (Carmel Valley),Rhône-style Red Blend,Chesebro
56880,US,"Initial whiffs of smoke and spring ramps blow off with significant aeration, revealing fresh tart notes of raspberry and cherry. Dry and medium bodied in style, it's a refreshingly brisk Pinot Noir rosé that rewards those with patience.",Dry,86,18,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,NA,Fox Run 2016 Dry Rosé (Finger Lakes),Rosé,Fox Run
72497,Chile,"Simple but friendly aromas of green fruits and spring vegetables set up a lemony feeling palate, with flavors of lime, green apple and herbs. This shows pyrazines on a juicy finish, but not so much that the wine comes across green, vegetal or bitter.",Select Terroir,86,10,Maipo Valley,NA,NA,Michael Schachner,@wineschach,Santa Ema 2013 Select Terroir Sauvignon Blanc (Maipo Valley),Sauvignon Blanc,Santa Ema
127785,France,"Pungent aromas of field greens and citrus lead into a palate defined by racy lime, grapefruit and passion fruit. The finish is a bit watery, which is a disappointing drop off from the solid citrus flavors present on the front palate. Overall it's a nice wine, nothing more, nothing less.",NA,86,19,Loire Valley,Sancerre,NA,NA,NA,Pascal Jolivet 2000  Sancerre,Sauvignon Blanc,Pascal Jolivet
92860,Italy,"This polished blend of 80% Pinot Bianco and 20% Chardonnay features aromas of Golden Delicious apple, peach, passion fruit and vanilla that carry over to the palate along with lemon drop. Aging partly in barrels gives it structure, while fresh acidity generates a crisp, clean finish.",Terlaner Hof zu Pramol,90,30,Northeastern Italy,Alto Adige,NA,Kerin O’Keefe,@kerinokeefe,Niedermayr Josef 2011 Terlaner Hof zu Pramol White (Alto Adige),White Blend,Niedermayr Josef
24152,Austria,"A beautifully concentrated wine that balances flavors of baked apple and spicy pepper. It feels full in the mouth, with a tense texture and intense acidity. Drink now, but better to hold for two years. Screwcap.",Wiedenberg Tradition,92,25,Kremstal,NA,NA,Roger Voss,@vossroger,Salomon-Undhof 2011 Wiedenberg Tradition Grüner Veltliner (Kremstal),Grüner Veltliner,Salomon-Undhof
77153,US,"This big and brawny bottling from the first winery to popularize the varietal is full bodied and appropriately tannic while offering meaty, smoky, savory aromas and flavors. It is dry and a bit astringent in texture, needing rich food to go with it, or at least until 2022 in the cellar.",Reserve,90,42,California,Livermore Valley,Central Coast,Jim Gordon,@gordone_cellars,Concannon 2012 Reserve Petite Sirah (Livermore Valley),Petite Sirah,Concannon
77260,Austria,"The nose already hints at the concentration of the palate, which hits like a bullet of spice and fruit, of pepper and pear. This is compact and fresh and given a wonderful and welcome drive by grapefruit zest. The finish is of aromatic pear and tingling white pepper and generous but well-directed ripeness.",Pellingen Reserve,93,42,Kremstal,NA,NA,Anne Krebiehl MW,@AnneInVino,Proidl 2015 Pellingen Reserve Grüner Veltliner (Kremstal),Grüner Veltliner,Proidl
4409,France,"This smooth wine has a rounded, soft texture, but acidity and a citrus edge creep into the peach and pineapple fruits. Drink now.",Vieilles Vignes,88,47,Burgundy,Pouilly-Fuissé,NA,Roger Voss,@vossroger,Meurgey-Croses 2015 Vieilles Vignes  (Pouilly-Fuissé),Chardonnay,Meurgey-Croses
102628,Israel,"A bouquet of blueberry, pomegranate and juniper berry braces the palate for flavors of blueberry, raspberry, anise, juniper berry and eucalyptus that sit in a plexus of comforting tannins. Fruity and cool flavors battle it out for dominance, with fruit remaining victorious on the bright and juicy finish.",Fusion,90,14,Galilee,NA,NA,Mike DeSimone,@worldwineguys,Segal's 2013 Fusion Red (Galilee),Bordeaux-style Red Blend,Segal's
27540,Spain,"Just a bit mulchy on the nose, which signals that is a wine from the hot 2003 vintage. The palate sits on raisin and mocha, and there's even a creamy, thick feel to it. If you like rich, Porty flavors that border on dessert, it's likable. But be prepared for it to hit with a thud.",Reserva,87,49,Northern Spain,Ribera del Duero,NA,Michael Schachner,@wineschach,Alidis 2003 Reserva  (Ribera del Duero),Tempranillo,Alidis
69293,Argentina,"Purple in color, this wine has grapy aromas. It feels potent yet pointy, with heavy extraction and high acidity for such a dark, berry-packed wine. The black fruit and pepper flavors are solid, and the finish is tight, with warmth and mild bitterness.",Reserve,85,12,Mendoza Province,Mendoza,NA,Michael Schachner,@wineschach,Artes del Sur 2011 Reserve Malbec (Mendoza),Malbec,Artes del Sur
22802,US,"With the blend consisting of 40% Grenache and equal parts Syrah and Mourvèdre, this wine hails from Lonesome Spring, Watermill and Sugarloaf vineyards. Aromas of milk chocolate, herbs, plum and peppery spices lead to a textured palate with a luxurious feel.",NA,91,38,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Saviah 2012 G-S-M (Columbia Valley (WA)),G-S-M,Saviah
118192,Italy,"Scents of orange blossom, tropical fruit and ripe apple emerge on this lively sparkler. Made with 100% Falanghina, the firm palate delivers nectarine zest, pineapple, green apple and a mineral vein alongside bright acidity and a vibrant, creamy mousse.",Brut Metodo Classico,88,39,Italy Other,Vino Spumante,NA,Kerin O’Keefe,@kerinokeefe,Feudi di San Gregorio NV Brut Metodo Classico Falanghina (Vino Spumante),Falanghina,Feudi di San Gregorio
126835,US,"This is a crisp, clean and nicely-structured Chardonnay, fermented in a mix of new and neutral oak, along with some stainless steel. A bit beer-like and yeasty at first, it opens into pleasing flavors of grapefruit and pineapple, with just the right amount of acidity.",NA,88,11,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Chateau Ste. Michelle 2012 Chardonnay (Columbia Valley (WA)),Chardonnay,Chateau Ste. Michelle
78969,US,"This blend of 65% Cabernet Sauvignon, 15% Cabernet Franc, 15% Merlot and 5% Petit Verdot boasts bright raspberry and cherry aromas, with green wood, baking spice and whiffs of game. The palate delivers concentrated fruit and medicinal flavors that carry through the finish.",Escape to Walla Walla,88,26,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Drink Washington State 2015 Escape to Walla Walla Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Drink Washington State
73181,US,"Block 23 is all Pommard clone. At first the drying, tea-flavored tannins push the fruit down, but over many hours the wine expands with generous flavors of cherry fruit leather, candied orange peel, and polished tannins.",Block 23,93,60,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Shea 2013 Block 23 Pinot Noir (Willamette Valley),Pinot Noir,Shea
57023,France,"This walled vineyard has produced a surprisingly tannic, if impressive, wine for a Savigny in this vintage. It has a dark and firm character, the red berry fruits just beginning to break through the firm and dry tannins. It needs 4–5 years' aging.",Clos des Guettottes,90,42,Burgundy,Savigny-lès-Beaune,NA,Roger Voss,@vossroger,Pierre André 2009 Clos des Guettottes  (Savigny-lès-Beaune),Pinot Noir,Pierre André
85216,US,"Here's a beautiful, balanced wine to drink now. It's soft and rich and complex, with flavors of blackberries, cherries, currants and milk chocolate, accented with sweet, smoky oak. A Cabernet Franc-based Bordeaux blend with a splash of Syrah.",Ancestor Estate Reserve,88,44,California,Paso Robles,Central Coast,NA,NA,Halter Ranch 2005 Ancestor Estate Reserve Red (Paso Robles),Red Blend,Halter Ranch
116857,US,"Shows everything that's noble about Oakville, from the wonderful, dusty tannins to the dryness and overall balance. Lovely, with flavors of blackberries, black currants and cedar. Could have more depth, though.",NA,89,45,California,Oakville,Napa,NA,NA,Robert Mondavi 2006 Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Robert Mondavi
26684,US,"Gloria Ferrer's 2005 dry Chardonnay and Pinot Noir were both really good, so why shouldn't this bubbly blend of them be? And so it is. Rich in raspberry, lime, vanilla cream, yeast and cinnamon spice flavors, it has a complex, silky texture, with very fine bubbles. Drink now.",Brut Rosé,91,42,California,Carneros,Napa-Sonoma,NA,NA,Gloria Ferrer 2005 Brut Rosé Sparkling (Carneros),Sparkling Blend,Gloria Ferrer
111634,Chile,"Leafy herbal aromas of tomato sauce and spicy red plum will be attractive or too green depending on your point of view. This has a snappy freshness to the palate, while flavors of red plum, herbs and tomato finish comfortably, with an Old World essence.",Family Vintage,87,18,Maipo Valley,NA,NA,Michael Schachner,@wineschach,Tres Palacios 2014 Family Vintage Merlot (Maipo Valley),Merlot,Tres Palacios
75845,New Zealand,"Based on these tastings, 2000 must have been a great vintage for the eastern coast of NZ's South Island. Here's another top-notch Chard, this one loaded with buttered, toasted whole-wheat bread and vanilla custard, spiked with tropical fruit and citrus. It's rich but not heavy, with a finely etched finish and ample structure.",NA,90,20,Waipara,NA,NA,Joe Czerwinski,@JoeCz,Muddy Water 2000 Chardonnay (Waipara),Chardonnay,Muddy Water
70215,US,"Floral, this medium-bodied white is creamy and touched by richer notions of pear, pineapple and vanilla, reflective of its warmer appellation in a warm year. French oak (40% of it new) aged the wine for under a year. With a touch of honeysuckle and nutmeg, the minerality is subtle.",Stuhlmuller Vineyards Reserve,89,32,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Summers 2013 Stuhlmuller Vineyards Reserve Chardonnay (Alexander Valley),Chardonnay,Summers
107257,France,"This is a dry wine although the fruit does show potential. It is concentrated and firm, tannins foremost. Drink from 2019.",Premium,85,14,Bordeaux,Cadillac Côtes de Bordeaux,NA,Roger Voss,@vossroger,Maison Hebrard 2014 Premium  (Cadillac Côtes de Bordeaux),Bordeaux-style Red Blend,Maison Hebrard
55479,US,"With off-dry flavors of ripe lemons, limes and vanilla, accented with brisk acidity, this simple wine will pair well with sweet Chinese and Vietnamese foods, and the price is right.",Split Oak Estates Sur Lie,84,12,California,California,California Other,NA,NA,Morro Bay 2012 Split Oak Estates Sur Lie Sauvignon Blanc (California),Sauvignon Blanc,Morro Bay
5388,France,"This is a style of Pinot Noir that needs to be drunk chilled. It brings out the smoky, stalky character of the wine that dominates the bitter cherry fruits. It's still young and needs another year to come together.",Tradition,85,20,Loire Valley,Menetou-Salon,NA,Roger Voss,@vossroger,Chavet Fils 2012 Tradition  (Menetou-Salon),Pinot Noir,Chavet Fils
81307,New Zealand,"A nicely balanced barrel-aged Chard, this wine offers scents of toasted hazelnuts, vanilla and citrus, then builds on those flavors by adding broader peach notes. It's fairly full-bodied, but avoids being heavy, and boasts a long, elegant finish.",NA,90,18,Marlborough,NA,NA,Joe Czerwinski,@JoeCz,Forrest Estate 2005 Chardonnay (Marlborough),Chardonnay,Forrest Estate
62413,Italy,"This wine is based on Sangiovese, with a tiny splash of Cabernet Sauvignon, and it's aged for 12 months in old and new oak barrels. It shows a savory side, with notes of candied fruit, prune, raisin and smoked meat. Drink now.",Lucius Riserva,88,40,Tuscany,Chianti Classico,NA,NA,NA,Viticcio 2008 Lucius Riserva  (Chianti Classico),Sangiovese,Viticcio
82709,France,"This fresh, crisp wine hovers attractively between crisp, herbal Sauvignon and riper yellow fruits. Touches of wood adds richness to this already-drinkable wine. Drink now or better, from 2017.",Pavillon Blanc,93,190,Bordeaux,Bordeaux Blanc,NA,Roger Voss,@vossroger,Château Margaux 2013 Pavillon Blanc  (Bordeaux Blanc),Bordeaux-style White Blend,Château Margaux
23212,Italy,"Ripe plum, blackberry, vanilla and espresso aromas lead the nose. On the palate, notes of coffee, toast, and star anise wrap around a core of mature black cherry. Polished tannins and fresh acidity provide structure. Drink through 2022.",Riserva,90,25,Tuscany,Chianti Classico,NA,Kerin O’Keefe,@kerinokeefe,Fattoria di Valiano 2010 Riserva  (Chianti Classico),Red Blend,Fattoria di Valiano
115477,France,"Anne-Marie and Jean-Guy Todeschini started a revolution here and at Château Mangot and sons Karl and Yann (mid-Millennials) are moving it on. They use Jean-Pierre Cousinié's terroir analysis (look it up), no pesticides, experiment with no sulfur and are changing the way their terroir talks to the wine. This vintage is a rich wine with attractive black currant fruit and fine acidity. With structured tannins and light spice, it is fruity, juicy and will be ready to drink from 2018.",NA,90,18,Bordeaux,Castillon Côtes de Bordeaux,NA,Roger Voss,@vossroger,Château la Brande 2014  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château la Brande
38856,US,"Focused blackberry aromas meet with graphite shavings, a touch of new leather and chipped oak on the nose of this Bordeaux blend. The medium-bodied palate offers dark purple-fruit flavors, cocoa dust and anise, lifted by strong acidity. It finishes with a vanilla-toast element.",Aria Diamond Reserve,90,40,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Harmony Cellars 2013 Aria Diamond Reserve Meritage (Paso Robles),Meritage,Harmony Cellars
76386,France,"This is a powerful, ripe wine, touched by its wood aging while having rich yellow fruits and a dense structure. Nervous tension comes from the acidity and the strongly mineral texture. It's a magnificent wine that needs aging, so drink from 2019.",NA,95,307,Burgundy,Corton-Charlemagne,NA,Roger Voss,@vossroger,Domaine Méo-Camuzet 2013  Corton-Charlemagne,Chardonnay,Domaine Méo-Camuzet
14174,Italy,This Sangiovese-based rosato is vinified solely in stainless steel in order to preserve the freshness of its forest berry and cranberry flavors. A touch of bitter almond adds brightness to the finish.,Cantalici Petali di Rosé,86,14,Tuscany,Toscana,NA,NA,NA,L'Antica Fornace di Ridolfo 2011 Cantalici Petali di Rosé Sangiovese (Toscana),Sangiovese,L'Antica Fornace di Ridolfo
49942,Italy,"There's a touch of ripe fruit followed by prune and dark tobacco. This Nero d'Avola is smooth and soft on the palate, with a touch of ripe fruit, plus notes of prune and dark tobacco. It would pair well with spicy chicken wings.",Caleo,85,10,Sicily & Sardinia,Sicilia,NA,NA,NA,Botter 2011 Caleo Nero d'Avola (Sicilia),Nero d'Avola,Botter
45895,US,"This wine's nose and palate bring linzer torte, raspberry jam and charred meat to mind. Thick, big-boned and robust, it finishes on sweet vanilla.",McClain,86,40,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Wilson 2014 McClain Primitivo (Alexander Valley),Primitivo,Wilson
83635,US,"This is the product of two childhood friends, both of whom grew up in the wine business in Napa Valley. Taken, if this wine is any indication, aims to offer great Napa Valley wine at affordable prices. This Cabernet-Merlot blend is smooth in juicy red and blue fruit and completely silky tannins, completely satisfying for all kinds of scenarios.",Taken,90,30,California,Napa Valley,Napa,Virginie Boone,@vboone,Taken Wine Co. 2011 Taken Cabernet Sauvignon-Merlot (Napa Valley),Cabernet Sauvignon-Merlot,Taken Wine Co.
47953,US,"A very pretty and polished Pinot Noir, soft, silky and delicious, and lovely for drinking now. It shows raspberry, cherry, vanilla and cinnamon flavors, with a kiss of rose petal.",NA,88,26,California,Carneros,Napa-Sonoma,NA,NA,Sebastiani 2008 Pinot Noir (Carneros),Pinot Noir,Sebastiani
72502,US,"The challenge for the winemaker in future vintages is to tame these hard, fierce tannins. With sour cherry candy and sandalwood flavors and tart acidity, this '11 is rustic-chic. Enjoy with an upscale hamburger.",NA,86,25,California,Paicines,Central Coast,NA,NA,Donati 2011 Cabernet Franc (Paicines),Cabernet Franc,Donati
71795,Italy,"Elderflower, grapefruit, dried herb and tomato vine scents lead the way in this linear, medium-bodied white. The bright, savory palate offers honeydew melon, kiwi and juicy citrus flavors, with fresh acidity that leaves a mouthwatering finish.",NA,90,16,Northeastern Italy,Collio,NA,Kerin O’Keefe,@kerinokeefe,Gradis'ciutta 2015 Sauvignon (Collio),Sauvignon,Gradis'ciutta
123352,Italy,"Bright aromas of Granny Smith apple, green fruit, melon and honey emerge from the nose of this fragrant expression of Pinot Grigio. It is creamy and textured in the mouth with a touch of smooth almond paste on the close.",NA,87,20,Northeastern Italy,Alto Adige,NA,NA,NA,Niedermayr Josef 2009 Pinot Grigio (Alto Adige),Pinot Grigio,Niedermayr Josef
47394,US,"Lightly aromatic, it offers notes of pencil shavings, dark fruit, coffee and pepper. It's medium bodied with a lower alcohol feel and abundant coffee flavors backed by gritty tannins.",Prayer Rock Vineyards Winemaker's Reserve,87,39,Oregon,Umpqua Valley,Southern Oregon,Sean P. Sullivan,@wawinereport,Reustle 2012 Prayer Rock Vineyards Winemaker's Reserve Syrah (Umpqua Valley),Syrah,Reustle
121044,France,"At only 7.5% alcohol, this is remarkably light and easy to drink, with vibrant notes of fresh peach, honeysuckle, baked apple and sweet, ripe pear, all balanced by ample acidity and brisk carbonation. The sweet fruit flavors are coupled with a lingering toasty richness on the finish. Versatile and friendly, this is an ideal apéritif or after-dinner drink.",Côté Mas Méthode Ancestrale,90,18,Languedoc-Roussillon,Blanquette de Limoux,NA,Lauren Buzzeo,@laurbuzz,Domaines Paul Mas NV Côté Mas Méthode Ancestrale Mauzac (Blanquette de Limoux),Mauzac,Domaines Paul Mas
44293,Italy,"Aromas of French oak, vanilla, toast and grilled herb carry over to the tangy palate along with mature yellow apple and a hint of lemon drop. A note of bitter almond closes the finish.",Riserva,88,36,Tuscany,Vernaccia di San Gimignano,NA,Kerin O’Keefe,@kerinokeefe,Panizzi 2012 Riserva  (Vernaccia di San Gimignano),Vernaccia,Panizzi
71363,France,"Floral overtones join ripe pear notes on the nose. The palate comes in with even more generous, juicy pear fruit, the rounded flavors boosted by a little residual sweetness that makes the wine finish off dry.",Vieilles Vignes,88,32,Alsace,Alsace,NA,Anne Krebiehl MW,@AnneInVino,Domaine Fritz Schmitt 2015 Vieilles Vignes Pinot Gris (Alsace),Pinot Gris,Domaine Fritz Schmitt
50567,France,"A fine example of what Tavel can be, this is a full-bodied, luscious rosé with a bit of sturdiness to its structure. Cherry and peach notes fade into hints of fresh herb and cocoa on the long, harmonious finish. Drink now and through the summer of 2014.",NA,90,20,Rhône Valley,Tavel,NA,Joe Czerwinski,@JoeCz,Château de Ségriès 2012  Tavel,Rosé,Château de Ségriès
123436,South Africa,"A forward and fruity wine, with red apple flesh, melon and tropical fruit aromas and flavors that are laced with just a hint of oak. The medium-weight mouth is juicy and clean, and the finish brisk and refreshing.",NA,87,13,Western Cape,NA,NA,Lauren Buzzeo,@laurbuzz,False Bay 2010 Chenin Blanc (Western Cape),Chenin Blanc,False Bay
103268,France,"This is a bright, fresh raspberry-flavored wine. It's fruity and layered with attractive, crisp acidity. A touch of spice accents the finish.",L'Instant,90,18,Provence,Côtes de Provence,NA,Roger Voss,@vossroger,Château Barbanau 2011 L'Instant Rosé (Côtes de Provence),Rosé,Château Barbanau
20778,Greece,"Aromas of sea salt, pineapple and citrus start this lively Assyrtiko. It offers a fresh mineral character rounded by tropical fruit. Friendly and not fussy.",NA,86,13,Santorini,NA,NA,Susan Kostrzewa,@suskostrzewa,Spyros Hatziyiannis 2011 Assyrtico (Santorini),Assyrtico,Spyros Hatziyiannis
110001,Spain,"This Monastrell's scratchy, slightly soapy berry and cassis aromas are on the sweet and ripe side. Its baked plum and berry flavors are fleshy and lack focus, finishing with abrasive tannins.",Lunático,88,18,Levante,Jumilla,NA,Michael Schachner,@wineschach,Casa de la Ermita 2013 Lunático Monastrell (Jumilla),Monastrell,Casa de la Ermita
68889,France,"This ripe, fruity wine has both freshness and a warmer, rounded character. Apricot and fresh white peach fruits are filled out with almond flavors as well as acidity. It's a wine to enjoy now, although it will be better from 2016",Réserve des Vignerons,86,14,Loire Valley,Saumur,NA,Roger Voss,@vossroger,Cave de Saumur 2014 Réserve des Vignerons  (Saumur),Chenin Blanc,Cave de Saumur
44828,Italy,"Spicy, fruity and nicely rounded, this wine boasts great flavor intensity without the sharp points sometimes associated with Montepulciano. It's an easy, approachable wine perfect for everyday dining with solid tannins and good length.",NA,86,10,Central Italy,Montepulciano d'Abruzzo,NA,NA,NA,Masciarelli 2003  Montepulciano d'Abruzzo,Montepulciano,Masciarelli
33146,Chile,"Leather aromas with floral hints and medicinal plum feed into a clampy palate, driven by tomato acidity. Medicinal cherry and red-plum flavors finish lean, herbal and a bit green.",NA,85,12,Colchagua Valley,NA,NA,Michael Schachner,@wineschach,Root:1 2013 Carmenère (Colchagua Valley),Carmenère,Root:1
7297,Australia,"The blend is 55% Grenache, 25% Shiraz and 20% Mourvèdre, but while this is a full-bodied wine, it's not overdone or bombastic. The masses of dark fruit are reined in by crisp acids and a layer of supple tannins, adding depth to the cassis, vanilla and mint flavors. Drink now through 2020.",Family Crest Grenache-Shiraz-Mourvèdre,90,21,South Australia,McLaren Vale,NA,Joe Czerwinski,@JoeCz,Angove 2014 Family Crest Grenache-Shiraz-Mourvèdre Red (McLaren Vale),Rhône-style Red Blend,Angove
73781,US,"Whiffs of crushed minerals and smoke lend nuance to this dry yet intensely fruity wine full of Meyer lemon, peach and melon flavors. It's brisk and dancing on the palate with a bracing hit of lime acidity that lingers towards a long, steely finish.",Randolph O'Neil Vineyard,87,25,New York,Cayuga Lake,Finger Lakes,Anna Lee C. Iijima,NA,Silver Thread 2012 Randolph O'Neil Vineyard Riesling (Cayuga Lake),Riesling,Silver Thread
113839,Italy,"Delicate aromas of honeysuckle and candied citrus waft from the glass. The zesty palate offers apricot, lime and a note of crystalized ginger alongside zesty acidity.",Simboli,87,13,Northeastern Italy,Trentino,NA,Kerin O’Keefe,@kerinokeefe,La Vis 2013 Simboli Riesling (Trentino),Riesling,La Vis
29333,Italy,"This lavish wine boats fine winemaking. Its beautiful flavors of plump cherry, leather, chocolate and tobacco are backed by soft tannins and a rich, round mouthfeel. This should pair with meat or pasta.",Torcicoda,92,NA,Southern Italy,Salento,NA,NA,NA,Tormaresca 2007 Torcicoda Primitivo (Salento),Primitivo,Tormaresca
93229,France,"A fragrant apple-skin aroma sets the scene for this wine that is warm and ripe. A touch of nutmeg adds an extra dimension to its yellow fruits. It's rich while still remaining true to its minerally, terroir-based origins. Age for two years.",Vieilles Vignes,90,22,Burgundy,Chablis,NA,Roger Voss,@vossroger,Bernard Defaix 2010 Vieilles Vignes  (Chablis),Chardonnay,Bernard Defaix
68043,France,"Packed with red fruits, this is a ripe while fresh wine. Acidity that cuts into the ripe flavors with a crisp edge in this otherwise jammy, rounded wine. The aftertaste is bright and lively with red currants. Drink from 2018.",Le Village,88,NA,Burgundy,Savigny-lès-Beaune,NA,Roger Voss,@vossroger,Henri de Villamont 2014 Le Village  (Savigny-lès-Beaune),Pinot Noir,Henri de Villamont
116309,Austria,"A rich hint of Golden Delicious apples appears first, followed by lively notes of ripe but fresh citrus and juicy Mirabelle plums. The palate has the same juiciness of fresh stone fruit, framed by lemon freshness but also slightness and elegance. This is light bodied, dry and very fresh, with a lovely edge of grapefruit-peel zestiness. The finish is whistle-clean and long.",Ried Bruck Federspiel,92,27,Wachau,NA,NA,Anne Krebiehl MW,@AnneInVino,Domäne Wachau 2016 Ried Bruck Federspiel Riesling (Wachau),Riesling,Domäne Wachau
77151,US,"The initials stand for the components—22% Marsanne, 41% Roussanne and 37% Viognier. Crafted by Herb Quady, this is a lush Southern Rhône blend, pumped up with abundant kiwi, pear and papaya fruit. Full bodied and loaded with fresh flavor, it's good to go now through 2020.",MRV,90,22,Oregon,Southern Oregon,Southern Oregon,Paul Gregutt,@paulgwine ,Cliff Creek 2015 MRV White (Southern Oregon),Rhône-style White Blend,Cliff Creek
110398,US,"Stone fruit-fuzz and sugar apple combine along a freeway of thick texture and voluptuous flavor in this full-bodied white, aged in both new and neutral French barrels. Creamy vanilla adds additional richness and texture as it finishes strong and ripe.",Estate,87,25,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Foppiano 2015 Estate Chardonnay (Russian River Valley),Chardonnay,Foppiano
68714,US,"Rich tannins give this wine a bracing mouthfeel, but it's still drinkable now. While it's a big wine, the palate feels -elegant and silky, with spicy flavors of black cherry and licorice. The 2010s should have one of the longer shelf lives of recent vintages, holding for at least another decade.",Ferrington Vineyard,94,65,California,Anderson Valley,NA,NA,NA,Williams Selyem 2010 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Williams Selyem
16574,France,"This certainly has maturity, giving it toasty flavors and a touch of oxidation. But it balances that with ripe yellow fruit, ripe acidity and a firm texture. It's rich and complex, balancing ripe fruit and more a rounded finish. Don't age it, though—enjoy it with food now.",Egérie Extra Brut,92,NA,Champagne,Champagne,NA,Roger Voss,@vossroger,Pannier 2002 Egérie Extra Brut  (Champagne),Champagne Blend,Pannier
39787,US,"Smelling sweet of candied orange and jasmine, this majority SB with about a quarter Sémillion blended in has pleasing flavors and textures and is crisp, a nice effort from the husband and wife winemaking team at this longstanding Sierra Foothills stalwart.",NA,87,12,California,Shenandoah Valley (CA),Sierra Foothills,Virginie Boone,@vboone,Amador Foothill Winery 2010 Sauvignon Blanc (Shenandoah Valley (CA)),Sauvignon Blanc,Amador Foothill Winery
12396,US,"It shows the variety's lusty red stone fruits and berries, with hints of milk chocolate and baking spices. A bit of new oak brings a wood-spice sweetness. You can drink this dry Zin now or stash it away for a couple years.",NA,87,20,California,Napa Valley,Napa,NA,NA,Buehler 2012 Zinfandel (Napa Valley),Zinfandel,Buehler
88024,Italy,Bright aromas of lemon zest and cut grass give this wine a crisp feel. This should pair well with basil and tomato buschetta or summer pasta dishes with tangy pesto sauce.,I Fiori,86,NA,Sicily & Sardinia,Vermentino di Sardegna,NA,NA,NA,Pala 2010 I Fiori  (Vermentino di Sardegna),Vermentino,Pala
41103,Argentina,"Dark in color, an indicator that this is a ripe style of Pinot. Smells granular and earthy, its big berry fruit aromas leading to a full-bodied palate with sweet black fruit flavors. Offers good acidity and plenty of oak.",San Pablo-Valle de Uco Vineyard,86,15,Mendoza Province,Mendoza,NA,Michael Schachner,@wineschach,Tapiz 2010 San Pablo-Valle de Uco Vineyard Pinot Noir (Mendoza),Pinot Noir,Tapiz
41130,France,"Soft notes of russet pear peel and peach contract into a tight, refreshing, lemony citrus structure. Some residual carbon dioxide underlines the freshness with a tiny bit of spritz. This is pure, clean-cut, fresh Riesling for immediate drinking and total refreshment.",NA,90,26,Alsace,Alsace,NA,Anne Krebiehl MW,@AnneInVino,Domaine Zind-Humbrecht 2013 Riesling (Alsace),Riesling,Domaine Zind-Humbrecht
101849,France,"This family-owned producer in the Aube region of Champagne has made a pale colored rosé. Dominated by 70% Pinot Noir, it's ripe and softly rich, its red fruit balanced with an almost-warm acidity that gives it a welcoming character. Drink now.",Brut Rosé,89,42,Champagne,Champagne,NA,Roger Voss,@vossroger,Gremillet NV Brut Rosé  (Champagne),Champagne Blend,Gremillet
